lon,lat,owner,watershed,type,form
-71.12894238580,42.42577913300,CITY-ROW,IN-426,STORM WATER INLET,
-71.11971949100,42.42385916010,CITY-ROW,IN-427,STORM WATER INLET,
-71.12040022670,42.42346707590,CITY-ROW,IN-428,STORM WATER INLET,
-71.12021780140,42.42333015390,CITY-ROW,IN-429,STORM WATER INLET,
-71.11538620200,42.42190174730,CITY-ROW,IN-430,STORM WATER INLET,
-71.11508037440,42.42129392930,CITY-ROW,IN-431,STORM WATER INLET,
-71.11486421670,42.42115543280,CITY-ROW,IN-432,STORM WATER INLET,
-71.11478596190,42.42122878010,CITY-ROW,IN-433,STORM WATER INLET,
-71.12093719070,42.42374495370,CITY-ROW,IN-434,STORM WATER INLET,
-71.12010208310,42.42306613950,CITY-ROW,IN-435,STORM WATER INLET,
-71.12002708250,42.42300448700,CITY-ROW,IN-436,STORM WATER INLET,
-71.11828902960,42.42154028230,CITY-ROW,IN-437,STORM WATER INLET,
-71.11823206690,42.42164799850,CITY-ROW,IN-438,STORM WATER INLET,
-71.11793480610,42.42145645490,CITY-ROW,IN-439,STORM WATER INLET,
-71.11748757830,42.42126403600,CITY-ROW,IN-440,STORM WATER INLET,
-71.11780228300,42.42116186560,CITY-ROW,IN-441,STORM WATER INLET,
-71.11826136040,42.42126054640,CITY-ROW,IN-442,STORM WATER INLET,
-71.13097010140,42.42936711600,CITY-ROW,IN-443,STORM WATER INLET,
-71.13086100020,42.42949664940,CITY-ROW,IN-444,STORM WATER INLET,
-71.13071011780,42.42900498160,CITY-ROW,IN-445,STORM WATER INLET,
-71.13062549920,42.42902029930,CITY-ROW,IN-446,STORM WATER INLET,
-71.13146845400,42.42849894850,CITY-ROW,IN-447,STORM WATER INLET,
-71.13162798380,42.42866542060,CITY-ROW,IN-448,STORM WATER INLET,
-71.13171709900,42.42861364840,CITY-ROW,IN-449,STORM WATER INLET,
-71.13127616850,42.42838375790,CITY-ROW,IN-450,STORM WATER INLET,
-71.13132507780,42.42830246780,CITY-ROW,IN-451,STORM WATER INLET,
-71.13232547780,42.42944730550,CITY-ROW,IN-452,STORM WATER INLET,
-71.13227266410,42.42971992920,CITY-ROW,IN-453,STORM WATER INLET,
-71.13235859300,42.42978986660,CITY-ROW,IN-454,STORM WATER INLET,
-71.13278402020,42.42942453540,CITY-ROW,IN-455,STORM WATER INLET,
-71.13149242770,42.42835124200,CITY-ROW,IN-456,STORM WATER INLET,
-71.13152036980,42.42837490050,CITY-ROW,IN-457,STORM WATER INLET,
